Nome|is_sentenca|classificacao_gpt
Mero expediente|0|0
Expedição de documento|0|0
Cumprimento de Suspensão ou Sobrestamento|0|0
Petição|0|0
Mero expediente|0|0
Documento|0|0
Documento|0|0
Documento|0|0
Petição|0|0
Documento|0|0
Expedição de documento|0|0
Cumprimento de Levantamento da Suspensão |0|0
Expedição de documento|0|0
Documento|0|0
Documento|0|0
Expedição de documento|0|0
Cumprimento de Levantamento da Suspensão |0|0
Conclusão|0|0
Documento|0|0
Expedida/Certificada|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Definitivo|0|1
Extinção da execução ou do cumprimento da sentença|0|1
Recebimento|0|0
Expedição de documento|0|0
Expedida/Certificada|0|0
Cumprimento de Suspensão ou Sobrestamento|0|0
Cumprimento de Suspensão ou Sobrestamento|0|0
Cumprimento de Suspensão ou Sobrestamento|0|0
Petição|0|0
Documento|0|0
Distribuição|0|0
Ato ordinatório|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Apensamento|0|0
Conclusão|0|0
Mero expediente|0|0
Recebimento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Outras Decisões|0|0
Recebimento|0|0
Expedição de documento|0|0
Conclusão|0|0
Apensamento|0|0
Expedição de documento|0|0
Cumprimento de Suspensão ou Sobrestamento|0|0
Petição|0|0
Mero expediente|0|0
Petição|0|0
Expedição de documento|0|0
Entrega em carga/vista|0|0
Documento|0|0
Conclusão|0|0
Documento|0|0
Mero expediente|0|0
Conclusão|0|0
Conclusão|0|1
Documento|0|0
Expedição de documento|0|0
Documento|0|0
Expedição de documento|0|0
Conclusão|0|1
Conclusão|0|1
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Documento|0|0
Ato ordinatório|0|0
Petição|0|0
Entrega em carga/vista|0|0
Documento|0|0
Documento|0|0
Entrega em carga/vista|0|0
Documento|0|0
Documento|0|0
Expedição de documento|0|0
Ato ordinatório|0|0
Documento|0|0
Expedição de documento|0|0
Documento|0|0
Expedição de documento|0|0
Distribuição|0|0
Expedição de documento|0|0
Petição|0|0
Petição|0|0
Conclusão|0|0
Outras Decisões|0|0
Documento|0|0
Outras Decisões|0|0
Documento|0|0
Expedição de documento|0|0
Entrega em carga/vista|0|0
Expedição de documento|0|0
Documento|0|0
Documento|0|0
Documento|0|0
Petição|0|0
Mandado|0|0
Conclusão|0|0
Documento|0|0
Mero expediente|0|0
Mero expediente|0|0
Expedição de documento|0|0
Documento|0|0
Entrega em carga/vista|0|0
Conclusão|0|0
Documento|0|0
Entrega em carga/vista|0|0
Documento|0|0
Expedição de documento|0|0
Conclusão|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Disponibilização no Diário da Justiça Eletrônico|0|0
Conclusão|0|0
Documento|0|0
Conclusão|0|0
Entrega em carga/vista|0|0
Expedição de documento|0|0
Mero expediente|0|0
Apensamento|0|0
Mero expediente|0|0
Documento|0|0
Documento|0|0
Documento|0|0
Expedição de documento|0|0
Documento|0|0
Documento|0|0
Entrega em carga/vista|0|0
Expedição de documento|0|0
Outras Decisões|0|0
Expedição de documento|0|0
Mandado|0|0
Entrega em carga/vista|0|0
Expedição de documento|0|0
Documento|0|0
Documento|0|0
Outras Decisões|0|0
Documento|0|0
Conclusão|0|0
Expedição de documento|0|0
Mandado|0|0
Expedição de documento|0|0
Conclusão|0|1
Mero expediente|0|0
Conclusão|0|0
Documento|0|0
Expedição de documento|0|0
Entrega em carga/vista|0|0
Recebimento|0|0
Expedição de documento|0|0
Documento|0|0
Mandado|0|0
Conclusão|0|0
Expedição de documento|0|0
Petição|0|0
Publicação|0|0
Petição|0|0
Remessa|0|0
Distribuição|0|0
Conclusão|0|0
Petição|0|0
Conclusão|0|0
Expedição de documento|0|0
Petição|0|0
Expedição de documento|0|0
Decurso de Prazo|0|0
Documento|0|0
Documento|0|0
Conclusão|0|0
Expedição de documento|0|0
Petição|0|0
Conclusão|0|0
Documento|0|0
Petição|0|0
Expedição de documento|0|0
Petição|0|0
Evolução da Classe Processual|0|0
Petição|0|0
Decurso de Prazo|0|0
Conclusão|0|0
Recebimento|0|0
Decisão Interlocutória de Mérito|1|1
Decisão Interlocutória de Mérito|1|1
Confirmada|0|0
Confirmada|0|1
Mero expediente|0|0
Confirmada|0|1
Improcedência|0|1
Confirmada|0|1
Decisão Interlocutória de Mérito|1|1
Distribuição|0|0
Conclusão|0|0
Expedição de documento|0|0
Audiência|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Documento|0|0
Documento|0|0
Remessa|0|0
Petição|0|0
Audiência|0|0
Expedição de documento|0|0
Remessa|0|0
Petição|0|0
Conclusão|0|0
Conclusão|0|0
Expedição de documento|0|0
Mandado|0|0
Petição|0|0
Conclusão|0|0
Expedição de documento|0|0
Conclusão|0|0
Petição|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Petição|0|0
Conclusão|0|0
Expedição de documento|0|0
Documento|0|0
Expedição de documento|0|0
Conclusão|0|0
Petição|0|0
Conclusão|0|0
Petição|0|0
Expedição de documento|0|0
Conclusão|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Documento|0|0
Mandado|0|0
Petição|0|0
Expedição de documento|0|0
Conclusão|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Documento|0|0
Conclusão|0|0
Petição|0|0
Expedição de documento|0|0
Conclusão|0|0
Documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Documento|0|0
Expedição de documento|0|0
Expedição de documento|0|0
Documento|0|0
Conclusão|0|0
Ato ordinatório|0|0
Outras Decisões|0|0
Remessa para o CEJUSC ou Centros de Conciliação/Mediação|0|0
Recebimento no CEJUSC ou Centros de Conciliação/Mediação|0|0
Recebimento do CEJUSC ou Centros de Conciliação/Mediação|0|0
Remessa para o CEJUSC ou Centros de Conciliação/Mediação|0|0
Recebimento no CEJUSC ou Centros de Conciliação/Mediação|0|0
Mero expediente|0|0
